lesluthiersq	#LesLuthiers http://t.co/lDw4Pt5pZZ
lesluthiersq	"Lo que siento se resume en una sola palabra: mil gracias… dos mil gracias” #DanielRabinovich http://t.co/8K1rBCAvaO
lesluthiersq	"Vuelvo a ti tras larga espera... PEEERAS, JUGOSA LA PEEERA... Ven a mi, de mi mano tómate... TOMAAATE, TOMAAATE..." #DanielRabinovich
lesluthiersq	Perdónala @LesLuthiersQ http://t.co/cG0NFcJsFt
lesluthiersq	¡Las risas se callaron! Daniel Abraham Rabinovich Aratuz, integrante de #LesLuthiers falleció en Buenos Aires. http://t.co/AT0bdu3aCX
lesluthiersq	Estoestodotodoestoesestoquéesestoestoestosoesesotoesesoesesesoessotototodososoesteeseteesdestotoosedestetótodotetétotototo AH! Esto es todo
lesluthiersq	Nada como almorzar en un prestigirioso restorán...
lesluthiersq	THIS IS THE PENCIL! This is the pencil of Esther Píscore!... #DanielRabinovich
lesluthiersq	- La llama… altiva. - El cóndor … “alelante”. - El puma… altanero. - La gallina… ¡al–horno!. #DanielRabinovich
lesluthiersq	Cuando empecé a trabajar aquí me dijeron q me pagarían de acuerdo a mi capacidad. ¡Con esa miseria no me alcanza para nada! #LesLuthiers
lesluthiersq	Pero hombre no se preocupe, ¡la vida es hermosa! la vida merece ser vivida, en cambio, la muerte, ¿merece ser morida? #DanielRabinovich
lesluthiersq	Ud. se ha comunicado con el Centro Estatal de Atención al Suicida... en este momento todos nuestros operadores están ocupados #LesLuthiers
lesluthiersq	¿Quién recuerda la candonga de los colectiveros? #DanielRabinovich
lesluthiersq	[AHORA] Murió Daniel Rabinovich, actor y humorista, integrante del grupo humorístico Les Luthiers. #HastaSiempre http://t.co/FKAwOQPnYK
lesluthiersq	@cartasdepalas @MarceloFigueras lo recordamos así, con una gran sonrisa, como la que nos regalaba siempre.
lesluthiersq	No soy un completo inútil, al menos sirvo de mal ejemplo #DanielRabinovich http://t.co/h540HqOfyA
lesluthiersq	Feliz viaje Daniel. Saludos a Éster Píscore... ¡Avant Garde! ¡Qué hembra!
lesluthiersq	RIP Daniel Rabinovic, recuerdo su monólogo #LesLuthiers https://t.co/IgH9kXWbVz cc: @LesLuthiers_Arg @LesLuthiersQ https://t.co/m4fO7NOLqE
lesluthiersq	https://t.co/zGRq5KPhBz
lesluthiersq	Tus bellezas naturales nos atraen como imanes tus praderas celestiales... - y tus dos grandes volcanes
lesluthiersq	Yo te quiero sin cesar #patria noble como pocas, yo te quiero sin dudar... - y yo te quiero ¡sin las ropas!
lesluthiersq	#Patria que amamos cual madre de entre todas favorita madre amada, madre buena... - ¡qué buena estás mamacita!
lesluthiersq	Y estos polvos parecen ser buenos... "@libropresumido Hola, @k_Johansen http://t.co/ipYZxXrFAj"
lesluthiersq	#Patria pujante y gloriosa, ubicada en la vanguardia, tienes bellezas famosas... - y una hermosa retaguardia.
lesluthiersq	Nuestro pueblo tenía hambre y no había libertad. Y aunque aún tengamos hambre, ¡no tenemos libertad!
lesluthiersq	Antes había desorden, cada cual con su opinión. Ahora tenemos orden y una sola opinión.
lesluthiersq	Acto en Banania (marchas oficiales) - Canción a la #Patria https://t.co/hE8ujKzKGC
lesluthiersq	De no ser por nuestra acción de gobierno en estos últimos 49 años... nuestras calles estarían llenas de... ¡gente!
lesluthiersq	Sres. ministros, sres. corresponsales extranjeros, Sr. Nuncio Apostólico y diplomáticos de otras naciones... ¡Descanso!
lesluthiersq	Todo comenzó cuando un conocido crítico se resfrió...
lesluthiersq	Ya me siento mejor, porque me ayudará el Estado. Ya me siento mejor... ¡mejor me siento a esperar sentado!
lesluthiersq	Siempre digo que la vida es hermosa, merece ser vivida. En cambio la muerte ¿merece ser morida?
lesluthiersq	Centro Estatal de Asistencia al Suicida, buenas noches, ¿por qué asunto es?
lesluthiersq	A los problemas dígale ¡No me importa!
lesluthiersq	Creo que sería bueno que regresáramos a la etapa juvenil y dejáramos de lado... la maduril.
lesluthiersq	Lo que siento se resume en una palabra... mil gracias.
lesluthiersq	Escuchemos algunas canciones descartables https://t.co/gTXi0HAesH
lesluthiersq	Algunos hasta confunden el vino y la mujer bella, llevan su amada a los labios y se acuestan con la botella.
lesluthiersq	El amor embriaga al hombre, igualito que el alcohol. El alcohol lo debilita, igualito que el amor.
lesluthiersq	El amor arde en el pecho, igualito que el alcohol. El alcohol cura las heridas, igualito que el amor.
lesluthiersq	Ojalá todos entiendan que estamos unidos... porque montamos el mismo caballo.
lesluthiersq	Eleuterio Manzano nunca olvidaba sus promesas... ¡y hasta las cumplía!
lesluthiersq	Y yo cuando amo a una mujer... ¡me gusta que me obedezca!
lesluthiersq	No juegues con mi paciencia, detén tanto tonto intento, detente, tenme contento o atente a las consecuencias.
lesluthiersq	- La llama… altiva. - El cóndor … “alelante”. - El puma… altanero. - La gallina… ¡al–horno!. ¿Y si le pedimos receta a @sumitoestevez ?
lesluthiersq	Cuantos más años a cuestas, más te cuesta y menos te acuestas #LesLuthiersQ
lesluthiersq	No soy un completo inútil... Por lo menos sirvo de mal ejemplo #LesLuthiersQ
lesluthiersq	El que nace pobre y feo, tiene grandes posibilidades de que al crecer... se le desarrollen ambas condiciones #LesLuthiersQuotes
